"Olympics","Athlete","Country","Medal","Event"
"2004 Summer Olympics","Svetlana Krivelyova","Russia","3rd place, bronze medalist(s)","Athletics, Women's shot put (X)"
"2004 Summer Olympics","Oleg Perepetchenov","Russia","3rd place, bronze medalist(s)","Weightlifting, Men's 77 kg"
"2004 Summer Olympics","Yuriy Bilonoh","Ukraine","1st place, gold medalist(s)","Athletics, Men's shot put"
"2004 Summer Olympics","Rowing team ( Olena Olefirenko )","Ukraine","3rd place, bronze medalist(s)","Rowing, Women's quadruple sculls"
"2004 Summer Olympics","Tyler Hamilton","United States","1st place, gold medalist(s)","Cycling, Men's road time trial"
"2006 Winter Olympics","Olga Pyleva","Russia","2nd place, silver medalist(s)","Biathlon, Women's individual"
"2008 Summer Olympics","Tigran Gevorg Martirosyan","Armenia","3rd place, bronze medalist(s)","Weightlifting, Men's 69 kg"
"2008 Summer Olympics","Vitaliy Rahimov","Azerbaijan","2nd place, silver medalist(s)","Wrestling, Men's Greco-Roman 60 kg"
"2008 Summer Olympics","Rashid Ramzi","Bahrain","1st place, gold medalist(s)","Athletics, Men's 1500 m"
"2008 Summer Olympics","Aksana Miankova","Belarus","1st place, gold medalist(s)","Athletics, Women's hammer throw"
"2008 Summer Olympics","Natallia Mikhnevich","Belarus","2nd place, silver medalist(s)","Athletics, Women's shot put"
"2008 Summer Olympics","Andrei Rybakou","Belarus","2nd place, silver medalist(s)","Weightlifting, Men's 85 kg"
"2008 Summer Olympics","Andrei Mikhnevich","Belarus","3rd place, bronze medalist(s)","Athletics, Men's shot put"
"2008 Summer Olympics","Nastassia Novikava","Belarus","3rd place, bronze medalist(s)","Weightlifting, Women's 53 kg"
"2008 Summer Olympics","Nadzeya Ostapchuk","Belarus","3rd place, bronze medalist(s)","Athletics, Women's shot put"
"2008 Summer Olympics","Liu Chunhong","China","1st place, gold medalist(s)","Weightlifting, Women's 69 kg"
"2008 Summer Olympics","Cao Lei","China","1st place, gold medalist(s)","Weightlifting, Women's 75 kg"
"2008 Summer Olympics","Chen Xiexia","China","1st place, gold medalist(s)","Weightlifting, Women's 48 kg"
"2008 Summer Olympics","Yarelys Barrios","Cuba","2nd place, silver medalist(s)","Athletics, Women's discus throw"
"2008 Summer Olympics","Hrysopiyi Devetzi","Greece","3rd place, bronze medalist(s)","Athletics, Women's triple jump"
"2008 Summer Olympics","Davide Rebellin","Italy","2nd place, silver medalist(s)","Cycling, Men's road race"
"2008 Summer Olympics","Relay team ( Nesta Carter )","Jamaica","1st place, gold medalist(s)","Athletics, Men's 4 × 100 m relay"
"2008 Summer Olympics","Ilya Ilyin","Kazakhstan","1st place, gold medalist(s)","Weightlifting, Men's 94 kg"
"2008 Summer Olympics","Irina Nekrassova","Kazakhstan","2nd place, silver medalist(s)","Weightlifting, Women's 63 kg"
"2008 Summer Olympics","Taimuraz Tigiyev","Kazakhstan","2nd place, silver medalist(s)","Wrestling, Men's freestyle 96 kg"
"2008 Summer Olympics","Mariya Grabovetskaya","Kazakhstan","3rd place, bronze medalist(s)","Weightlifting, Women's +75 kg"
"2008 Summer Olympics","Asset Mambetov","Kazakhstan","3rd place, bronze medalist(s)","Wrestling, Men's Greco-Roman 96 kg"
"2008 Summer Olympics","Kim Jong-su","North Korea","2nd place, silver medalist(s)","Shooting, Men's 50 m air pistol"
"2008 Summer Olympics","Kim Jong-su","North Korea","3rd place, bronze medalist(s)","Shooting, Men's 10 m air pistol"
"2008 Summer Olympics","Equestrian team  (Camiro horse, Tony André Hansen rider)","Norway","3rd place, bronze medalist(s)","Equestrian, team show jumping"
"2008 Summer Olympics","Relay team ( Yuliya Chermoshanskaya )","Russia","1st place, gold medalist(s)","Athletics, Women's 4 × 100 m relay"
"2008 Summer Olympics","Maria Abakumova","Russia","2nd place, silver medalist(s)","Athletics, Women's javelin throw"
"2008 Summer Olympics","Khasan Baroev","Russia","2nd place, silver medalist(s)","Wrestling, Men's Greco-Roman 120 kg"
"2008 Summer Olympics","Tatyana Lebedeva","Russia","2nd place, silver medalist(s)","Athletics, Women's triple jump"
"2008 Summer Olympics","Tatyana Lebedeva","Russia","2nd place, silver medalist(s)","Athletics, Women's long jump"
"2008 Summer Olympics","Relay team ( Anastasiya Kapachinskaya , Tatyana Firova )","Russia","2nd place, silver medalist(s)","Athletics, Women's 4 × 400 m relay"
"2008 Summer Olympics","Marina Shainova","Russia","2nd place, silver medalist(s)","Weightlifting, Women's 58 kg"
"2008 Summer Olympics","Khadzhimurat Akkaev","Russia","3rd place, bronze medalist(s)","Weightlifting, Men's 94 kg"
"2008 Summer Olympics","Anna Chicherova","Russia","3rd place, bronze medalist(s)","Athletics, Women's high jump"
"2008 Summer Olympics","Nadezhda Evstyukhina","Russia","3rd place, bronze medalist(s)","Weightlifting, Women's 75 kg"
"2008 Summer Olympics","Dmitry Lapikov","Russia","3rd place, bronze medalist(s)","Weightlifting, Men's 105 kg"
"2008 Summer Olympics","Tatyana Chernova","Russia","3rd place, bronze medalist(s)","Athletics, Women's heptathlon"
"2008 Summer Olympics","Relay team ( Denis Alexeev )","Russia","3rd place, bronze medalist(s)","Athletics, Men's 4 × 400 m relay"
"2008 Summer Olympics","Yekaterina Volkova","Russia","3rd place, bronze medalist(s)","Athletics, Women's 3000 m steeplechase"
"2008 Summer Olympics","Ara Abrahamian","Sweden","3rd place, bronze medalist(s)","Wrestling, Men's Greco-Roman 84 kg (X, Z)"
"2008 Summer Olympics","Elvan Abeylegesse","Turkey","2nd place, silver medalist(s)","Athletics, Women's 5000 metres"
"2008 Summer Olympics","Elvan Abeylegesse","Turkey","2nd place, silver medalist(s)","Athletics, Women's 10000 metres"
"2008 Summer Olympics","Sibel Özkan","Turkey","2nd place, silver medalist(s)","Weightlifting, Women's 48 kg"
"2008 Summer Olympics","Lyudmyla Blonska","Ukraine","2nd place, silver medalist(s)","Athletics, Women's heptathlon"
"2008 Summer Olympics","Vasyl Fedoryshyn","Ukraine","2nd place, silver medalist(s)","Wrestling, Men's freestyle 60 kg"
"2008 Summer Olympics","Olha Korobka","Ukraine","2nd place, silver medalist(s)","Weightlifting, Women's +75 kg"
"2008 Summer Olympics","Nataliya Davydova","Ukraine","3rd place, bronze medalist(s)","Weightlifting, Women's 69 kg"
"2008 Summer Olympics","Victoria Tereshchuk","Ukraine","3rd place, bronze medalist(s)","Modern pentathlon, Women's modern pentathlon"
"2008 Summer Olympics","Denys Yurchenko","Ukraine","3rd place, bronze medalist(s)","Athletics, Men's pole vault"
"2008 Summer Olympics","Artur Taymazov","Uzbekistan","1st place, gold medalist(s)","Wrestling, Men's freestyle 120 kg"
"2008 Summer Olympics","Soslan Tigiev","Uzbekistan","2nd place, silver medalist(s)","Wrestling, Men's freestyle 74 kg"
"2010 Winter Olympics","Evgeny Ustyugov","Russia","1st place, gold medalist(s)","Biathlon, Men's mass start"
"2010 Winter Olympics","Relay team ( Evgeny Ustyugov )","Russia","3rd place, bronze medalist(s)","Biathlon, Men's relay"
"2012 Summer Olympics","Hripsime Khurshudyan","Armenia","3rd place, bronze medalist(s)","Weightlifting, Women's +75 kg"
"2012 Summer Olympics","Valentin Hristov","Azerbaijan","3rd place, bronze medalist(s)","Weightlifting, Men's 56 kg"
"2012 Summer Olympics","Nadzeya Ostapchuk","Belarus","1st place, gold medalist(s)","Athletics, Women's shot put"
"2012 Summer Olympics","Iryna Kulesha","Belarus","3rd place, bronze medalist(s)","Weightlifting, Women's 75 kg"
"2012 Summer Olympics","Maryna Shkermankova","Belarus","3rd place, bronze medalist(s)","Weightlifting, Women's 69 kg"
"2012 Summer Olympics","Davit Modzmanashvili","Georgia","2nd place, silver medalist(s)","Wrestling, Men's freestyle 120 kg"
"2012 Summer Olympics","Zulfiya Chinshanlo","Kazakhstan","1st place, gold medalist(s)","Weightlifting, Women's 53 kg"
"2012 Summer Olympics","Ilya Ilyin","Kazakhstan","1st place, gold medalist(s)","Weightlifting, Men's 94 kg"
"2012 Summer Olympics","Maiya Maneza","Kazakhstan","1st place, gold medalist(s)","Weightlifting, Women's 63 kg"
"2012 Summer Olympics","Svetlana Podobedova","Kazakhstan","1st place, gold medalist(s)","Weightlifting, Women's 75 kg"
"2012 Summer Olympics","Jevgenij Shuklin","Lithuania","2nd place, silver medalist(s)","Canoeing, Men's C-1 200 m"
"2012 Summer Olympics","Anatolie Cîrîcu","Moldova","3rd place, bronze medalist(s)","Weightlifting, Men's 94 kg"
"2012 Summer Olympics","Cristina Iovu","Moldova","3rd place, bronze medalist(s)","Weightlifting, Women's 53 kg"
"2012 Summer Olympics","Răzvan Martin","Romania","3rd place, bronze medalist(s)","Weightlifting, Men's 69 kg"
"2012 Summer Olympics","Roxana Cocoș","Romania","2nd place, silver medalist(s)","Weightlifting, Women's 69 kg"
"2012 Summer Olympics","Natalya Antyukh","Russia","1st place, gold medalist(s)","Athletics, Women's 400 m hurdles"
"2012 Summer Olympics","Sergey Kirdyapkin","Russia","1st place, gold medalist(s)","Athletics, Men's 50 km walk"
"2012 Summer Olympics","Elena Lashmanova","Russia","1st place, gold medalist(s)","Athletics, Women's 20 km walk"
"2012 Summer Olympics","Ivan Ukhov","Russia","1st place, gold medalist(s)","Athletics, Men's high jump"
"2012 Summer Olympics","Tatyana Lysenko","Russia","1st place, gold medalist(s)","Athletics, Women's hammer throw"
"2012 Summer Olympics","Mariya Savinova","Russia","1st place, gold medalist(s)","Athletics, Women's 800 m"
"2012 Summer Olympics","Yuliya Zaripova","Russia","1st place, gold medalist(s)","Athletics, Women's 3000 m steeplechase"
"2012 Summer Olympics","Apti Aukhadov","Russia","2nd place, silver medalist(s)","Weightlifting, Men's 85 kg"
"2012 Summer Olympics","Aleksandr Ivanov","Russia","2nd place, silver medalist(s)","Weightlifting, Men's 94 kg"
"2012 Summer Olympics","Olga Kaniskina","Russia","2nd place, silver medalist(s)","Athletics, Women's 20 km walk"
"2012 Summer Olympics","Yevgeniya Kolodko","Russia","2nd place, silver medalist(s)","Athletics, Women's shot put"
"2012 Summer Olympics","Darya Pishchalnikova","Russia","2nd place, silver medalist(s)","Athletics, Women's discus throw"
"2012 Summer Olympics","Tatyana Tomashova","Russia","2nd place, silver medalist(s)","Athletics, Women's 1500 m"
"2012 Summer Olympics","Relay team ( Antonina Krivoshapka , Yulia Gushchina , Tatyana Firova , Natalya Antyukh )","Russia","2nd place, silver medalist(s)","Athletics, Women's 4 × 400 m relay"
"2012 Summer Olympics","Svetlana Tsarukaeva","Russia","2nd place, silver medalist(s)","Weightlifting, Women's 63 kg"
"2012 Summer Olympics","Natalya Zabolotnaya","Russia","2nd place, silver medalist(s)","Weightlifting, Women's 75 kg"
"2012 Summer Olympics","Tatyana Chernova","Russia","3rd place, bronze medalist(s)","Athletics, Women's heptathlon"
"2012 Summer Olympics","Ekaterina Guliyev","Russia","3rd place, bronze medalist(s)","Athletics, Women's 800 m (Y) – 2 medals to be allocated"
"2012 Summer Olympics","Svetlana Shkolina","Russia","3rd place, bronze medalist(s)","Athletics, Women's high jump"
