dopage_id,edition,athlete,country,medal,event,sport,sex
51,2004 Summer Olympics,"Waterford Crystal (horse, Cian O'Connor rider)",Ireland,Gold,"Equestrian, Individual show jumping",Equestrian,Mixed
52,2004 Summer Olympics,Irina Korzhanenko,Russian Federation,Gold,"Athletics, Women's shot put",Athletics,Female
53,2004 Summer Olympics,Svetlana Krivelyova,Russian Federation,Bronze,"Athletics, Women's shot put (X)",Athletics,Female
54,2004 Summer Olympics,Oleg Perepetchenov,Russian Federation,Bronze,"Weightlifting, Men's 77 kg",Weightlifting,Male
55,2004 Summer Olympics,Yuriy Bilonoh,Ukraine,Gold,"Athletics, Men's shot put",Athletics,Male
56,2004 Summer Olympics,Rowing team ( Olena Olefirenko ),Ukraine,Bronze,"Rowing, Women's quadruple sculls",Rowing,Female
57,2004 Summer Olympics,Tyler Hamilton,United States,Gold,"Cycling, Men's road time trial",Cycling,Male
58,2006 Winter Olympics,Olga Pyleva,Russian Federation,Silver,"Biathlon, Women's individual",Biathlon,Female
59,2008 Summer Olympics,Tigran Gevorg Martirosyan,Armenia,Bronze,"Weightlifting, Men's 69 kg",Weightlifting,Male
60,2008 Summer Olympics,Vitaliy Rahimov,Azerbaijan,Silver,"Wrestling, Men's Greco-Roman 60 kg",Wrestling,Male
61,2008 Summer Olympics,Rashid Ramzi,Bahrain,Gold,"Athletics, Men's 1500 m",Athletics,Male
62,2008 Summer Olympics,Aksana Miankova,Belarus,Gold,"Athletics, Women's hammer throw",Athletics,Female
63,2008 Summer Olympics,Natallia Mikhnevich,Belarus,Silver,"Athletics, Women's shot put",Athletics,Female
64,2008 Summer Olympics,Andrei Rybakou,Belarus,Silver,"Weightlifting, Men's 85 kg",Weightlifting,Male
65,2008 Summer Olympics,Andrei Mikhnevich,Belarus,Bronze,"Athletics, Men's shot put",Athletics,Male
66,2008 Summer Olympics,Nastassia Novikava,Belarus,Bronze,"Weightlifting, Women's 53 kg",Weightlifting,Female
67,2008 Summer Olympics,Nadzeya Ostapchuk,Belarus,Bronze,"Athletics, Women's shot put",Athletics,Female
68,2008 Summer Olympics,Liu Chunhong,People's Republic of China,Gold,"Weightlifting, Women's 69 kg",Weightlifting,Female
69,2008 Summer Olympics,Cao Lei,People's Republic of China,Gold,"Weightlifting, Women's 75 kg",Weightlifting,Female
70,2008 Summer Olympics,Chen Xiexia,People's Republic of China,Gold,"Weightlifting, Women's 48 kg",Weightlifting,Female
71,2008 Summer Olympics,Yarelys Barrios,Cuba,Silver,"Athletics, Women's discus throw",Athletics,Female
72,2008 Summer Olympics,Hrysopiyi Devetzi,Greece,Bronze,"Athletics, Women's triple jump",Athletics,Female
